[2023-11-06 21:53:22,748: INFO: main: Welcome to our custom log]
[2023-11-07 02:04:46,561: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-07 02:04:46,959: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-07 02:04:46,963: INFO: common: created directory at: artifacts]
[2023-11-07 02:04:46,995: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-07 02:04:47,093: INFO: 1031895116: Downloading data from https://drive.google.com/file/d/1H-wfHTZBsHludnItgHMtZLNsoqWdOzGx/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-07 02:41:21,221: INFO: stage_01_data_ingestion: >>>>>> stage Data Ingestion started <<<<<<]
[2023-11-07 02:41:21,225: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-07 02:41:21,227: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-07 02:41:21,229: INFO: common: created directory at: artifacts]
[2023-11-07 02:41:21,236: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-07 02:41:21,257: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1H-wfHTZBsHludnItgHMtZLNsoqWdOzGx/view?usp=sharing into file artifacts/data_ingestion/data.zip]
